Pathways,Liver related
KEGG_HUMAN_CYTOMEGALOVIRUS_INFECTION,1
KEGG_IL_17_SIGNALING_PATHWAY,1
KEGG_INFLAMMATORY_MEDIATOR_REGULATION_OF_TRP_CHANNELS,1
KEGG_INOSITOL_PHOSPHATE_METABOLISM,1
KEGG_INSULIN_RESISTANCE,1
KEGG_INSULIN_SECRETION,1
KEGG_INSULIN_SIGNALING_PATHWAY,1
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,1
KEGG_JAK_STAT_SIGNALING_PATHWAY,1
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,1
KEGG_LINOLEIC_ACID_METABOLISM,1
KEGG_LONG_TERM_DEPRESSION,1
KEGG_LONG_TERM_POTENTIATION,1
KEGG_LONGEVITY_REGULATING_PATHWAY,1
KEGG_LONGEVITY_REGULATING_PATHWAY_MULTIPLE_SPECIES,1
KEGG_LYSINE_DEGRADATION,1
KEGG_LYSOSOME,1
KEGG_MANNOSE_TYPE_O_GLYCAN_BIOSYNTHESIS,1
KEGG_MAPK_SIGNALING_PATHWAY,1
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG,1
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,1
KEGG_MICRORNAS_IN_CANCER,1
KEGG_MINERAL_ABSORPTION,1
KEGG_MISMATCH_REPAIR,1
KEGG_MITOPHAGY_ANIMAL,1
KEGG_MORPHINE_ADDICTION,1
KEGG_MRNA_SURVEILLANCE_PATHWAY,1
KEGG_MTOR_SIGNALING_PATHWAY,1
KEGG_MUCIN_TYPE_O_GLYCAN_BIOSYNTHESIS,1
KEGG_N_GLYCAN_BIOSYNTHESIS,1
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,1
KEGG_NECROPTOSIS,1
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,1
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,1
KEGG_NF_KAPPA_B_SIGNALING_PATHWAY,1
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,1
KEGG_NITROGEN_METABOLISM,1
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,1
KEGG_NON_ALCOHOLIC_FATTY_LIVER_DISEASE_NAFLD,1
KEGG_NON_HOMOLOGOUS_END_JOINING,1
KEGG_NOTCH_SIGNALING_PATHWAY,1
KEGG_NUCLEOTIDE_EXCISION_REPAIR,1
KEGG_ONE_CARBON_POOL_BY_FOLATE,1
KEGG_OTHER_GLYCAN_DEGRADATION,1
KEGG_OTHER_TYPES_OF_O_GLYCAN_BIOSYNTHESIS,1
KEGG_OXIDATIVE_PHOSPHORYLATION,1
KEGG_P53_SIGNALING_PATHWAY,1
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,1
KEGG_PATHWAYS_IN_CANCER,1
KEGG_PD_L1_EXPRESSION_AND_PD_1_CHECKPOINT_PATHWAY_IN_CANCER,1
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,1
KEGG_PENTOSE_PHOSPHATE_PATHWAY,1
KEGG_PEROXISOME,1
KEGG_PHAGOSOME,1
KEGG_PHENYLALANINE_METABOLISM,1
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,1
KEGG_PHOSPHOLIPASE_D_SIGNALING_PATHWAY,1
KEGG_PHOTOTRANSDUCTION,1
KEGG_PI3K_AKT_SIGNALING_PATHWAY,1
KEGG_PLATELET_ACTIVATION,1
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,1
KEGG_PPAR_SIGNALING_PATHWAY,1
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,1
KEGG_PROLACTIN_SIGNALING_PATHWAY,1
KEGG_PROPANOATE_METABOLISM,1
KEGG_PROTEASOME,1
KEGG_PROTEIN_DIGESTION_AND_ABSORPTION,1
KEGG_PROTEIN_EXPORT,1
KEGG_PROTEIN_PROCESSING_IN_ENDOPLASMIC_RETICULUM,1
KEGG_PROTEOGLYCANS_IN_CANCER,1
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,1
KEGG_PURINE_METABOLISM,1
KEGG_PYRIMIDINE_METABOLISM,1
KEGG_PYRUVATE_METABOLISM,1
KEGG_RAP1_SIGNALING_PATHWAY,1
KEGG_RAS_SIGNALING_PATHWAY,1
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,1
KEGG_RELAXIN_SIGNALING_PATHWAY,1
KEGG_RENIN_ANGIOTENSIN_SYSTEM,1
KEGG_RETINOL_METABOLISM,1
KEGG_RETROGRADE_ENDOCANNABINOID_SIGNALING,1
KEGG_RHEUMATOID_ARTHRITIS,1
KEGG_RIBOSOME,1
KEGG_RIBOSOME_BIOGENESIS_IN_EUKARYOTES,1
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,1
KEGG_RNA_DEGRADATION,1
KEGG_RNA_POLYMERASE,1
KEGG_RNA_TRANSPORT,1
KEGG_SELENOCOMPOUND_METABOLISM,1
KEGG_SEROTONERGIC_SYNAPSE,1
KEGG_SIGNALING_PATHWAYS_REGULATING_PLURIPOTENCY_OF_STEM_CELLS,1
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,1
KEGG_SPHINGOLIPID_METABOLISM,1
KEGG_SPHINGOLIPID_SIGNALING_PATHWAY,1
KEGG_SPLICEOSOME,1
KEGG_STARCH_AND_SUCROSE_METABOLISM,1
KEGG_STEROID_BIOSYNTHESIS,1
KEGG_STEROID_HORMONE_BIOSYNTHESIS,1
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,1
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS,1
KEGG_TGF_BETA_SIGNALING_PATHWAY,1
KEGG_TH1_AND_TH2_CELL_DIFFERENTIATION,1
KEGG_TH17_CELL_DIFFERENTIATION,1
KEGG_THERMOGENESIS,1
KEGG_THIAMINE_METABOLISM,1
KEGG_THYROID_HORMONE_SIGNALING_PATHWAY,1
KEGG_TIGHT_JUNCTION,1
KEGG_TNF_SIGNALING_PATHWAY,1
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,1
KEGG_TRANSCRIPTIONAL_MISREGULATION_IN_CANCER,1
KEGG_TRYPTOPHAN_METABOLISM,1
