ENSEMBL_GENE_ID,baseMean__NAFL+NASHF0vsCTRL,log2FoldChange__NAFL+NASHF0vsCTRL,pvalue__NAFL+NASHF0vsCTRL,padj__NAFL+NASHF0vsCTRL,baseMean__NASHF12vsNAFL+F0,log2FoldChange__NASHF12vsNAFL+F0,pvalue__NASHF12vsNAFL+F0,padj__NASHF12vsNAFL+F0,baseMean__NASHF34vsNAFL+F0,log2FoldChange__NASHF34vsNAFL+F0,pvalue__NASHF34vsNAFL+F0,padj__NASHF34vsNAFL+F0,external_gene_name
ENSG00000153975,99.90728661,0.034421958,0.75976242,0.898115596,76,0.131441355,0.005609661,0.097108588,79,0.152807941,0.009963093,0.0512186,ZUP1
ENSG00000153976,25.03037931,0.341291647,0.284750277,0.579286184,17,-0.246918724,0.142840726,0.453760654,19,-0.254161762,0.204312567,0.382700811,HS3ST3A1
ENSG00000153982,53.95310185,0.13481412,0.333475289,0.623955528,33,-0.022400985,0.733311264,0.903115113,36,0.01790607,0.841400414,0.915141606,GDPD1
ENSG00000153989,458.047165,0.030066519,0.798803141,0.916366252,310,0.071747829,0.159087907,0.475194872,344,0.234207906,0.005920665,0.036146771,NUS1
ENSG00000153993,60.03294435,-0.252035937,0.197469274,0.483458072,44,0.187851765,0.091037469,0.365544847,46,0.356132354,0.013565117,0.062900856,SEMA3D
ENSG00000154001,473.3276254,-0.106291724,0.303704839,0.597229628,350,0.032791123,0.38964793,0.70181098,368,0.145878856,0.022967879,0.089541668,PPP2R5E
ENSG00000154016,83.53824088,0.493032333,0.065759021,0.272620227,47,-0.095228209,0.347518162,0.66907638,54,-0.066491811,0.685453136,0.81209278,GRAP
ENSG00000154025,15.61313525,0.495392939,0.15079584,NA,12,0.023701859,0.862103702,0.954814904,13,0.040218754,0.847050284,0.918826905,SLC5A10
ENSG00000154027,32.25884761,0.366759042,0.235075868,0.52755311,20,-0.093030113,4.61E-01,0.75386145,21,-0.344749022,8.67E-02,2.21E-01,AK5
ENSG00000154040,24.59424067,-0.013498066,0.954819033,0.982361588,16,0.047443123,0.631722009,0.852411469,20,0.27014322,0.123086631,0.276981442,CABYR
