ENSEMBL_GENE_ID,baseMean__NASHF12vsNAFL+F0,log2FoldChange__NASHF12vsNAFL+F0,pvalue__NASHF12vsNAFL+F0,padj__NASHF12vsNAFL+F0,baseMean__NASHF34vsNAFL+F0,log2FoldChange__NASHF34vsNAFL+F0,pvalue__NASHF34vsNAFL+F0,padj__NASHF34vsNAFL+F0,external_gene_name
ENSG00000172053,1900,-0.055898012,0.198185327,0.797040255,1948,-0.015908768,0.738066919,0.892644788,QARS1
ENSG00000172057,4868,-0.096906327,0.06269671,0.619295648,4832,-0.123236047,0.04470842,0.18757545,ORMDL3
ENSG00000172059,495,0.124983349,0.32426191,0.855527916,470,0.081828109,4.86E-01,0.741044364,KLF11
ENSG00000172061,2,-0.562713445,0.122860165,0.718426238,5,1.136533779,0.005402645,0.045130332,LRRC15
ENSG00000172062,81,-0.099360571,0.235259393,0.816024812,82,-0.168063911,4.17E-02,0.180017727,SMN1
ENSG00000172071,344,0.060549224,0.538513536,0.923466208,323,-0.086578175,0.437095594,0.703832985,EIF2AK3
ENSG00000172081,143,-0.031035128,0.658650732,0.9481914,145,-0.02671102,0.720007493,0.884473509,MOB3A
ENSG00000172086,456,0.075595801,0.237693829,0.816598205,448,0.000216008,0.997620131,0.998816892,KRCC1
ENSG00000172113,136,-0.014779988,0.771279618,0.968980095,134,-0.036496777,0.521096915,0.765805201,NME6
ENSG00000172115,1131,0.212591404,0.08949568,0.676966398,1197,0.343560398,0.009476324,0.066730413,CYCS
ENSG00000172116,15,0.090209036,0.65791745,0.9481914,21,0.552378066,0.038133632,0.170051502,CD8B
ENSG00000172123,25,0.179598146,0.195889204,0.794103097,33,0.785821432,6.83E-07,3.87E-05,SLFN12
ENSG00000172137,3,-0.358911656,0.616479552,0.94084682,3,-0.533075905,0.383300103,0.662193258,CALB2
ENSG00000172159,15,-0.080987512,0.537792981,0.923466208,18,0.324225398,0.110941818,0.329133034,FRMD3
ENSG00000172164,2288,0.006141764,0.91751442,0.988051551,2192,-0.156843326,0.057357293,0.219036875,SNTB1
ENSG00000172167,23,0.006214832,0.957024329,0.993249335,25,0.123967622,0.339438636,0.621500405,MTBP
ENSG00000172171,127,0.105428926,1.03E-01,6.97E-01,128,0.101633758,2.13E-01,4.84E-01,TEFM
ENSG00000172172,675,0.02643107,0.625567912,0.941489565,691,0.037930928,0.564484067,0.794840231,MRPL13
ENSG00000172175,364,-0.026477552,0.727796241,0.958053092,387,0.027305697,7.12E-01,0.879853067,MALT1
ENSG00000172183,51,0.039141201,0.748200808,0.962469137,63,0.388799097,0.005077677,0.043088753,ISG20
ENSG00000172197,61,0.107325517,0.423214256,0.895067984,63,0.198473747,0.166611226,0.423667414,MBOAT1
ENSG00000172201,11,-0.301014419,0.293685214,0.843743495,26,1.464531923,5.60E-06,0.000212936,ID4
ENSG00000172215,47,0.15911187,0.166884311,0.763043477,50,0.248798689,1.68E-01,4.26E-01,CXCR6
ENSG00000172216,681,-0.040649793,0.724794544,0.957836211,656,-0.214059847,0.086803014,0.28457554,CEBPB
ENSG00000172232,1,0.537943374,3.64E-01,NA,NA,NA,NA,NA,AZU1
ENSG00000172236,17,0.160876222,0.574778664,0.932434985,20,0.512905814,4.47E-02,1.88E-01,TPSAB1
