SYMBOL,baseMean_6N-WD-C0.2-FG-9W,log2FoldChange_6N-WD-C0.2-FG-9W,pvalue_6N-WD-C0.2-FG-9W,padj_6N-WD-C0.2-FG-9W,baseMean_6N-WD-C0.2-FG-29W,log2FoldChange_6N-WD-C0.2-FG-29W,pvalue_6N-WD-C0.2-FG-29W,padj_6N-WD-C0.2-FG-29W
0610007P14Rik,7.645526737,-0.492013198,6.25E-10,6.96E-08,7.645526737,-0.474643077,2.03E-09,3.41E-08
0610009B22Rik,7.392252121,0.036208857,0.426719155,0.639497635,7.392252121,-0.033299872,0.465807019,0.600650578
0610009D07Rik,5.71374803,0.00543321,0.938575478,0.9690544,5.71374803,-0.108721924,0.126709483,0.248194221
0610009O20Rik,6.725607077,0.241970121,3.24E-07,1.42E-05,6.725607077,-0.016068982,0.713622529,0.800234853
0610010B08Rik,7.865244329,-0.206204493,0.010572464,0.05418627,7.865244329,0.107689759,0.176655431,0.310184114
0610010F05Rik,5.590593074,-0.103634336,0.115468601,0.2847814,5.590593074,0.08991456,0.172325076,0.305567617
0610010K14Rik,6.935870935,0.101762785,0.002327998,0.017661936,6.935870935,-0.007073376,0.828074611,0.883992936
0610011F06Rik,8.06202823,0.083439292,0.074812581,0.213477732,8.06202823,-0.150110884,0.001734839,0.008695704
0610012H03Rik,7.566108522,0.402328764,3.03E-06,8.93E-05,7.566108522,-0.018015166,0.823454069,0.881093565
0610030E20Rik,6.949054664,0.005213457,0.913991374,0.956179304,6.949054664,-0.125888912,0.010769199,0.03985187
0610031J06Rik,7.19803728,0.091194364,0.126125757,0.30076142,7.19803728,0.241692748,0.000101642,0.000702034
0610037L13Rik,6.147647356,-0.010496507,0.753364661,0.870783654,6.147647356,0.027085286,0.419466447,0.558752663
0610040J01Rik,6.600699015,0.019549774,0.667489791,0.81759755,6.600699015,-0.226515803,3.40E-06,3.23E-05
1100001G20Rik,10.19417242,-0.010832212,0.919738455,0.959042833,10.19417242,-0.402217896,0.000334661,0.002061988
1110001A16Rik,6.335494094,0.149642896,0.003390873,0.023485949,6.335494094,-0.032294439,0.517822294,0.644317953
1110001J03Rik,5.555627913,0.051595126,0.2906815,0.510515989,5.555627913,-0.216711509,2.61E-05,0.000205069
1110004E09Rik,6.14997441,0.01458194,0.619706659,0.786706563,6.14997441,-0.062608864,0.035864049,0.101172166
1110004F10Rik,7.287269849,-0.115515971,0.028698455,0.1100581,7.287269849,-0.050787725,0.331696804,0.47838238
1110007C09Rik,6.8987263,0.080858027,0.034096162,0.124316376,6.8987263,0.076273489,0.045850503,0.120858631
1110008F13Rik,8.566711836,0.119430381,0.038778883,0.13621643,8.566711836,-0.061765178,0.281833809,0.427509451
1110008J03Rik,5.341222473,0.019630029,0.591861762,0.767742102,5.341222473,-0.096726736,0.009767347,0.036895763
1110008L16Rik,5.96118887,-0.080221895,0.061741865,0.188160707,5.96118887,-0.188536675,2.77E-05,0.000216872
1110008P14Rik,6.685229534,0.227802865,0.001398943,0.011918998,6.685229534,0.094628447,0.174368174,0.307416634
1110012L19Rik,5.73558477,-0.005656518,0.888667661,0.943748906,5.73558477,-0.130081327,0.00182828,0.009095025
1110025L11Rik,2.145486153,0.037584857,0.548474035,0.737341172,2.145486153,-0.057406501,0.361323882,0.505101768
1110032A03Rik,6.30746138,-0.131882587,0.042221394,0.144825664,6.30746138,-0.191844745,0.003634528,0.016314609
1110032F04Rik,4.86296975,-0.032172351,0.602609146,0.774830657,4.86296975,-0.17126356,0.006822578,0.02754128
1110034G24Rik,4.58163673,-0.00791401,0.838154002,0.918205543,4.58163673,-0.020897771,0.590870618,0.70551875
1110037F02Rik,6.117026749,-0.052377826,0.292609019,0.51263902,6.117026749,0.07338472,0.142631086,0.268240689
1110038F14Rik,5.99087649,0.109428218,0.032024363,0.119108263,5.99087649,0.000744718,0.988223162,0.992582528
1110051M20Rik,4.343679604,-0.023999787,0.366687569,0.586824532,4.343679604,0.124328277,1.07E-05,9.19E-05
1110057K04Rik,7.460904377,-0.031939968,0.689231727,0.830979384,7.460904377,-0.122132067,0.129693427,0.251847573
1110058L19Rik,4.595970524,0.048528678,0.429393614,0.641962703,4.595970524,-0.206662795,0.00113328,0.006033096
1110059E24Rik,4.835161388,-0.05246448,0.092611949,0.245786455,4.835161388,-0.021164929,0.495476516,0.626309381
1110059G10Rik,4.538392642,-0.028699413,0.582246284,0.761800048,4.538392642,-0.116170685,0.028473254,0.084803292
1110059M19Rik,2.901329585,-0.097002275,0.074987169,0.213729617,2.901329585,-0.00954929,0.859885115,0.907531794
1110065P20Rik,6.446226747,0.123924662,0.009809473,0.051166178,6.446226747,-0.02839786,0.54730789,0.668905602
1190002N15Rik,7.722714594,0.424518159,0.000296687,0.003618888,7.722714594,0.470437696,7.30E-05,0.000523035
1190003J15Rik,7.926300976,-0.095198824,0.060691389,0.185870273,7.926300976,-0.222710021,2.79E-05,0.000218329
1190003K10Rik,3.037705877,-0.078591889,0.265179149,0.482311481,3.037705877,-0.027233117,0.699204372,0.788620362
1190005I06Rik,6.112552771,0.143670534,0.004159322,0.027482322,6.112552771,-0.056461443,0.251201536,0.396013717
1190007I07Rik,6.410467456,0.047708904,0.151553243,0.34006776,6.410467456,-0.07178224,0.032703056,0.09419604
1200011I18Rik,6.223357886,-0.030887096,0.665925051,0.817052297,6.223357886,0.029821579,0.67755223,0.77242358
1200014J11Rik,5.651572624,-0.036579273,0.323499578,0.544868901,5.651572624,-0.041711295,0.261879848,0.406773144
1300002K09Rik,8.384474843,-0.170346666,0.008949435,0.047913338,8.384474843,-0.160602817,0.01374162,0.048487309
1300017J02Rik,9.818844015,-0.203410341,0.001724769,0.014051851,9.818844015,-0.20851475,0.001373316,0.007127067
1300018J18Rik,7.600234431,-0.01383283,0.861755226,0.930877688,7.600234431,-0.231096618,0.0046323,0.020013355
1500009L16Rik,4.415895128,-0.097120057,0.07692809,0.217602248,4.415895128,-0.133766437,0.015949436,0.054397792
1500012F01Rik,5.376101017,0.002812976,0.936651791,0.967823031,5.376101017,0.040135734,0.25984196,0.405036937
1500015O10Rik,4.652045149,-0.038384683,0.458265728,0.66514075,4.652045149,-0.044237399,0.394127206,0.534780863
1600002H07Rik,7.935187898,-0.24428936,0.021609349,0.090460607,7.935187898,-0.629795417,4.60E-08,6.18E-07
1600002K03Rik,5.119858108,0.055200768,0.248840796,0.463731398,5.119858108,-0.126334728,0.009614955,0.036447623
1600012H06Rik,5.155619791,0.192731314,4.50E-07,1.87E-05,5.155619791,0.083108044,0.02077434,0.066707555
1600014C10Rik,7.765554404,0.180223075,0.000320935,0.003839015,7.765554404,0.061551551,0.20434031,0.343526877
1600014C23Rik,4.448968499,-0.022076304,0.7213059,0.85130629,4.448968499,-0.150856982,0.016842834,0.056722151
1600014K23Rik,5.665307766,0.034879501,0.586343725,0.763781248,5.665307766,-0.113511667,0.07987038,0.179631128
1600015I10Rik,3.602184949,-0.076850109,0.190761388,0.392177712,3.602184949,-0.038040278,0.516655183,0.643245991
1600029D21Rik,5.426359091,-0.124865268,0.122563915,0.295325215,5.426359091,0.635808671,9.54E-12,2.35E-10
1700001C02Rik,5.195016757,-0.060577342,0.174203992,0.370949682,5.195016757,-0.067749177,0.130089618,0.252315656
1700001C19Rik,6.672116476,0.070798418,0.142795321,0.327009538,6.672116476,-0.303153117,1.27E-08,1.87E-07
1700001F09Rik,3.376459356,-0.470477844,0.000936074,0.008767226,3.376459356,-0.062600469,0.649871618,0.75203335
1700001J03Rik,3.763216958,-0.100969604,0.157889765,0.349339702,3.763216958,-0.059505135,0.404597225,0.544696645
1700001K19Rik,3.870958771,0.003301376,0.957525447,0.978166241,3.870958771,-0.129011424,0.040415552,0.110274334
1700001L19Rik,3.966952047,0.029753125,0.584985377,0.763019381,3.966952047,-0.051085875,0.350484304,0.495328042
1700001O22Rik,4.939097173,0.097884033,0.020199605,0.086388462,4.939097173,-0.092593046,0.028139138,0.083984962
1700001P01Rik,4.006883846,0.025759034,0.646858501,0.805503941,4.006883846,-0.084560654,0.135986903,0.259758913
1700003E16Rik,4.777553672,0.061465435,0.199146312,0.403649935,4.777553672,-0.053332443,0.265862546,0.410947083
1700003F12Rik,6.319290532,-0.016667423,0.715188972,0.847653105,6.319290532,-0.044621529,0.331057301,0.477807948
1700003M02Rik,3.655413911,-0.008482034,0.840974673,0.919566532,3.655413911,-0.039803445,0.348875395,0.494163225
1700006A11Rik,2.330755643,0.02318045,0.459538794,0.666300979,2.330755643,-0.036945401,0.240868442,0.384675894
1700006E09Rik,3.000176925,-0.037533049,0.362884574,0.583519809,3.000176925,-0.053299571,0.198597941,0.336673224
1700007B14Rik,2.613615288,0.011329026,0.770787132,0.88022799,2.613615288,-0.06011632,0.125659615,0.246576654
1700007G11Rik,3.315126465,0.103998515,0.033250482,0.122288894,3.315126465,-0.094529089,0.052999362,0.133706617
1700007K09Rik,2.28710218,-0.070576169,0.032086363,0.119249301,2.28710218,-0.119732667,0.000401811,0.002422974
1700007K13Rik,3.632088345,-0.022358224,0.667499379,0.81759755,3.632088345,0.001904878,0.97086256,0.981421957
1700008A04Rik,5.024155414,0.04134615,0.339245906,0.561085594,5.024155414,-0.042288353,0.329645942,0.476326244
1700008F21Rik,2.437612475,-0.043269745,0.095626728,0.251229424,2.437612475,-0.048083925,0.065241899,0.155203167
1700008I05Rik,2.356018771,0.003406605,0.908093818,0.953130421,2.356018771,-0.036074086,0.224770234,0.366972189
1700008O03Rik,5.396761592,0.074354349,0.103941981,0.265881546,5.396761592,-0.050058251,0.272757293,0.418031686
1700008P02Rik,2.592359278,0.005282208,0.919565713,0.959022702,2.592359278,-0.065341648,0.21491452,0.355540481
1700009N14Rik,3.749626772,-0.031000691,0.544091216,0.734239587,3.749626772,-0.040691616,0.427423822,0.565974532
1700009P17Rik,5.206407517,0.022972472,0.516189066,0.712656065,5.206407517,0.068797884,0.054847048,0.137179947
1700010B08Rik,4.787985929,-0.040713517,0.578422487,0.758816635,4.787985929,-0.169981831,0.022622719,0.071347466
1700010D01Rik,3.266511095,0.019755101,0.760032465,0.874099111,3.266511095,-0.151130143,0.021784819,0.069278454
1700010I14Rik,5.293554606,-0.104885999,0.003061494,0.021854103,5.293554606,0.032579488,0.34718563,0.492615153
1700011A15Rik,5.268443267,-0.025297498,0.626974268,0.792175869,5.268443267,-0.026526946,0.611261971,0.721430433
1700011E24Rik,3.471705853,-0.03452134,0.444607647,0.655073005,3.471705853,-0.060772789,0.181097763,0.315685054
1700011H14Rik,3.374959055,0.012490436,0.796278974,0.895293154,3.374959055,0.25323404,1.22E-06,1.26E-05
1700011I03Rik,2.97552294,-0.039363196,0.308906519,0.528833223,2.97552294,-0.053685613,0.167424336,0.299594279
1700011L22Rik,4.903435939,0.054093092,0.258866416,0.476255416,4.903435939,-0.089526035,0.06407657,0.153407394
1700012A03Rik,4.262964383,-0.04196554,0.375120899,0.594366493,4.262964383,-0.120929286,0.012188127,0.044033304
1700012B07Rik,3.683694025,0.022260049,0.559843003,0.744690441,3.683694025,-0.028483132,0.457062849,0.593016788
1700012B09Rik,3.539975475,-0.007942165,0.818700563,0.908042523,3.539975475,-0.110054736,0.002085848,0.010189534
1700012L04Rik,4.399875665,-0.140530841,0.033272091,0.122324952,4.399875665,-0.132108875,0.045568034,0.120306169
1700012P22Rik,3.771169738,-0.071499712,0.098395996,0.255831199,3.771169738,-0.048235087,0.263936212,0.408917116
1700013D24Rik,4.560944826,-0.030167181,0.520126623,0.715609761,4.560944826,-0.050306612,0.28578705,0.43158921
1700013F07Rik,4.234844745,-0.06781082,0.234210824,0.44730835,4.234844745,-0.046803884,0.411747916,0.551474947
1700013G24Rik,4.375859072,-0.072153638,0.283382207,0.502463135,4.375859072,-0.13784386,0.042787097,0.115080734
1700013H16Rik,2.800588571,0.082802077,0.033689641,0.123233402,2.800588571,-0.087222797,0.025859203,0.078831172
1700015E13Rik,3.860983267,-0.038432061,0.532893503,0.725354731,3.860983267,-0.10270337,0.098863589,0.208827984
1700015F17Rik,2.533238301,-0.019916958,0.531340221,0.724525344,2.533238301,-0.057887681,0.072022578,0.166758888
1700015G11Rik,3.244518553,-0.062228214,0.316003733,0.536256143,3.244518553,-0.1213963,0.053011419,0.133720004
1700016C15Rik,2.912680792,0.071381544,0.11975039,0.291152715,2.912680792,-0.004264176,0.925594626,0.9525719
1700016D06Rik,3.13829615,-0.041368715,0.337488729,0.559019503,3.13829615,-0.107445691,0.014425445,0.050361937
1700016H13Rik,4.172191866,0.004837069,0.90349005,0.951372514,4.172191866,-0.058919824,0.14328309,0.26907644
1700016K19Rik,7.804068686,0.048020913,0.347962754,0.568571656,7.804068686,-0.068337385,0.183972788,0.319424748
1700017B05Rik,5.390441872,0.197908382,0.000889811,0.0084579,5.390441872,0.11791535,0.043594366,0.11642993
1700017D01Rik,2.135512554,-0.047068228,0.116479124,0.286163336,2.135512554,-0.074994766,0.013621641,0.04813255
1700017N19Rik,2.746445409,-0.02053804,0.548588807,0.737395377,2.746445409,-0.053737691,0.119768422,0.238513387
1700018B08Rik,5.322478089,0.06396626,0.148909843,0.336079676,5.322478089,-0.06034673,0.174076892,0.307115173
1700018C11Rik,4.112255955,-0.021527852,0.727929781,0.855221244,4.112255955,-0.051432776,0.407905466,0.547958726
1700018F24Rik,3.943194421,-0.125487631,0.013473417,0.064343035,3.943194421,-0.048671637,0.331444461,0.478227352
1700019A02Rik,2.638295541,0.043946092,0.390216429,0.607203953,2.638295541,-0.145469576,0.005489089,0.023051382
1700019B03Rik,4.06535653,-0.059551446,0.203035074,0.408877813,4.06535653,-0.069173328,0.140917318,0.266078654
1700019D03Rik,3.47860851,-0.033861333,0.373827408,0.593218548,3.47860851,-0.068331851,0.075541494,0.172436212
1700019G17Rik,6.284852351,-0.133103212,0.001770988,0.014309035,6.284852351,-0.139153027,0.001146737,0.006096544
1700019M22Rik,3.577842774,0.065554575,0.352856562,0.573822809,3.577842774,-0.067725219,0.338456644,0.485094253
1700019N19Rik,4.452305226,-0.079585583,0.055529321,0.174683233,4.452305226,-0.092143405,0.027586119,0.082695736
1700019O17Rik,4.367939036,-0.04837802,0.392006797,0.608757611,4.367939036,-0.08248118,0.147171415,0.273944612
1700020A23Rik,5.032715141,0.001724895,0.974954571,0.987820321,5.032715141,-0.077687398,0.160928545,0.291845972
1700020D05Rik,4.506042076,0.172050316,0.001988877,0.015696281,4.506042076,-0.024385675,0.652804367,0.754193498
1700020L24Rik,5.020907074,0.028946019,0.535088502,0.727093438,5.020907074,-0.155057802,0.001308104,0.006826193
1700020N15Rik,2.792151789,-0.041007934,0.520989036,0.716330571,2.792151789,-0.022151452,0.729253927,0.812337122
1700021F05Rik,6.038007108,0.06284677,0.098457567,0.255917325,6.038007108,-0.071671183,0.060784521,0.147579733
1700021F07Rik,5.067037326,0.075262119,0.203287131,0.409275462,5.067037326,-0.163977265,0.006601158,0.026784583
1700021K19Rik,5.969587442,0.103667425,0.000393157,0.004517434,5.969587442,-0.03388316,0.231695735,0.374238488
1700022I11Rik,4.157279591,-0.111361602,0.018183169,0.079988984,4.157279591,-0.072255588,0.122680791,0.242745402
1700022P22Rik,3.697959678,0.013412999,0.845517936,0.922040451,3.697959678,-0.018602404,0.787541729,0.855332754
1700023E05Rik,3.614980798,-0.031876092,0.407967708,0.623615428,3.614980798,-0.117748085,0.002945731,0.013665846
1700023F06Rik,5.436411923,0.044664297,0.264839596,0.482006043,5.436411923,-0.102272901,0.012156412,0.043950788
1700024G13Rik,5.432334835,0.064280053,0.374392213,0.593686787,5.432334835,-0.135899321,0.063171191,0.151826997
1700024P04Rik,3.234994491,0.065907947,0.18903254,0.39044387,3.234994491,-0.016115873,0.747503389,0.826062763
1700024P16Rik,5.711719483,-0.124318847,0.064784885,0.194545488,5.711719483,0.438565032,3.93E-09,6.27E-08
1700025F22Rik,2.239703054,0.003418501,0.924797016,0.961825768,2.239703054,-0.062720943,0.086877488,0.191021402
1700025G04Rik,4.903545069,0.046251102,0.141326387,0.32450845,4.903545069,0.14312527,1.60E-05,0.000133297
1700026D08Rik,3.61925379,-0.007095931,0.866658708,0.93358216,3.61925379,-0.000104797,0.998026361,0.998580876
1700026L06Rik,4.635986488,0.059544514,0.186934756,0.388056696,4.635986488,-0.076960867,0.089987779,0.195990711
1700028P14Rik,3.660310358,-0.073832746,0.069619192,0.203852757,3.660310358,0.012616865,0.754820064,0.831584255
1700029F12Rik,4.563443722,-0.073733827,0.185654902,0.386428281,4.563443722,-0.084263817,0.131987038,0.254753506
1700029H14Rik,4.564681382,0.031532005,0.489779711,0.690811445,4.564681382,-0.09992668,0.03112503,0.090738603
1700029I15Rik,5.462545127,0.078450858,0.139473874,0.321447117,5.462545127,-0.103672254,0.052564109,0.132850971
1700029J07Rik,3.577289294,0.022191711,0.557849131,0.743636166,3.577289294,-0.049626171,0.192983338,0.330207044
1700029P11Rik,5.455161439,-0.046864255,0.438259385,0.649328125,5.455161439,-0.06405205,0.291394908,0.437755327
1700030F18Rik,3.191809249,-0.011585605,0.781560239,0.886688586,3.191809249,-0.071752461,0.08945228,0.195085347
1700030J22Rik,5.194560199,0.030243479,0.489534134,0.690780857,5.194560199,-0.049889035,0.256698642,0.401424675
1700030K09Rik,5.105200291,0.009085628,0.773271215,0.881748187,5.105200291,-0.075644365,0.018628277,0.061337689
1700031F05Rik,4.096264713,-0.038428237,0.440891356,0.651473669,4.096264713,-0.054326901,0.277997973,0.423474458
1700034E13Rik,2.518505593,-0.086767866,0.131896991,0.309787466,2.518505593,-0.090621953,0.116728962,0.234179056
1700034F02Rik,2.548003546,-0.072419933,0.008629006,0.046626288,2.548003546,-0.025577333,0.345962455,0.491654371
1700034J05Rik,3.855729164,-0.094052685,0.116369808,0.286024251,3.855729164,0.054402177,0.362582062,0.505873226
1700034O15Rik,4.654819649,-0.130841281,0.059487413,0.183333398,4.654819649,-0.101166304,0.144354852,0.270242689
1700037C18Rik,5.320115794,0.054931962,0.174950285,0.371512438,5.320115794,-0.117306089,0.004585651,0.019855116
1700037H04Rik,6.330851824,0.122032604,0.001055829,0.009611631,6.330851824,0.004840846,0.89345563,0.931384836
1700039E15Rik,4.846936818,0.045010233,0.283067827,0.502344029,4.846936818,-0.077985608,0.065408473,0.155450082
1700040L02Rik,5.807108686,0.040069524,0.648430513,0.806223953,5.807108686,-0.063195275,0.473631465,0.607613865
1700042B14Rik,3.732023984,-0.0841985,0.018541773,0.081098252,3.732023984,-0.063886726,0.072686566,0.167853601
1700042G07Rik,4.784883322,-0.11428666,0.054769357,0.172979303,4.784883322,-0.059991908,0.31064549,0.456462912
1700047I17Rik2,6.232266925,0.162161877,0.009449129,0.049847616,5.774417971,0.469367563,3.90E-12,1.04E-10
1700047I17Rik2,6.232266925,0.162161877,0.009449129,0.049847616,6.232266925,0.463662594,4.58E-11,9.88E-10
1700047I17Rik2,6.232266925,0.162161877,0.009449129,0.049847616,5.774417971,0.469367563,3.90E-12,1.04E-10
1700047I17Rik2,6.232266925,0.162161877,0.009449129,0.049847616,6.232266925,0.463662594,4.58E-11,9.88E-10
1700047I17Rik2,5.774417971,0.107979488,0.064664754,0.194376134,5.774417971,0.469367563,3.90E-12,1.04E-10
1700047I17Rik2,5.774417971,0.107979488,0.064664754,0.194376134,6.232266925,0.463662594,4.58E-11,9.88E-10
1700047I17Rik2,5.774417971,0.107979488,0.064664754,0.194376134,5.774417971,0.469367563,3.90E-12,1.04E-10
1700047I17Rik2,5.774417971,0.107979488,0.064664754,0.194376134,6.232266925,0.463662594,4.58E-11,9.88E-10
1700049G17Rik,5.41378424,-0.041030732,0.218375011,0.427866838,5.41378424,0.021000193,0.528360432,0.65304123
1700052N19Rik,4.930395463,-0.057136195,0.098720963,0.256467351,4.930395463,-0.039795687,0.24933344,0.393997142
1700054O13Rik,3.817245331,0.275899487,0.012087601,0.059666906,3.817245331,-0.126227083,0.244936141,0.389307552
1700055N04Rik,5.09615245,0.026729825,0.512986302,0.710263902,5.09615245,0.056147239,0.172356689,0.305567617
1700056E22Rik,5.985067925,0.135821199,0.04502168,0.151620954,5.985067925,-0.131731918,0.05230257,0.132469271
1700057G04Rik,3.183465561,-0.025034546,0.437283732,0.648801846,3.183465561,0.002343988,0.942062891,0.963463463
1700061G19Rik,4.407677441,0.053290841,0.191884086,0.393817877,4.407677441,-0.073963471,0.072144405,0.16689344
1700065I17Rik,4.742832832,0.062530387,0.111863217,0.279011396,4.742832832,-0.056356432,0.152334891,0.28044627
1700066B19Rik,3.790980872,-0.024668422,0.660606085,0.813853221,3.790980872,-0.015353528,0.785099371,0.85366305
1700066M21Rik,6.536654983,0.125997023,0.118710433,0.289740631,6.536654983,-0.252405648,0.002272164,0.010971452
1700067K01Rik,5.429769159,0.067868429,0.083021483,0.229017207,5.429769159,-0.090205596,0.022457557,0.070996131
1700067P10Rik,3.147042634,0.125194733,0.060843429,0.186138607,3.147042634,-0.118569309,0.076244538,0.173502228
1700071K01Rik,3.834358378,-0.138498948,0.020457439,0.087150018,3.834358378,-0.083564616,0.158691617,0.288847031
1700074P13Rik,2.557273613,0.012087572,0.706915605,0.842708745,2.557273613,-0.043078683,0.183523523,0.318868298
1700080E11Rik,4.937167044,-0.127290121,0.018109806,0.07980804,4.937167044,-0.028324345,0.593940942,0.708204502
1700080O16Rik,3.208353465,0.000601869,0.9901743,0.994864461,3.208353465,-0.076770202,0.119879753,0.238687107
1700084C01Rik,3.729829628,0.013714866,0.789357082,0.891264749,3.729829628,-0.106497175,0.041021652,0.111528673
1700088E04Rik,5.267135292,0.008850074,0.821980078,0.90968344,5.267135292,0.015967913,0.685637686,0.778189596
1700092M07Rik,5.817300388,0.067833276,0.29343954,0.513674783,5.817300388,-0.043115681,0.504509542,0.633643768
1700093K21Rik,3.98935365,-0.050158281,0.262481383,0.47978786,3.98935365,-0.045621932,0.309018208,0.454928091
1700101E01Rik,4.691554551,0.018972833,0.70041623,0.839131973,4.691554551,-0.039678446,0.422903484,0.562424681
1700102P08Rik,3.521339635,-0.06534195,0.273160699,0.491462451,3.521339635,-0.022366793,0.707397495,0.794964372
1700106J16Rik,4.601893819,-0.027236053,0.664133626,0.815915591,4.601893819,-0.080923928,0.200140326,0.33828717
1700109H08Rik,4.276604506,0.077612821,0.118876225,0.290073805,4.276604506,0.021463845,0.664914458,0.763287581
1700110M21Rik,2.488688283,-0.101308994,0.087467558,0.237153688,2.488688283,-0.033155512,0.573909231,0.691602868
1700112E06Rik,4.545747982,-0.020730235,0.604579799,0.775856519,4.545747982,0.06653351,0.099885132,0.210223607
1700113H08Rik,4.008594269,-0.00979423,0.819388169,0.908550811,4.008594269,-0.03201359,0.457306283,0.593123823
1700122O11Rik,3.662193511,0.018369024,0.739129038,0.861715444,3.662193511,-0.052666653,0.342089177,0.488040656
1700123I01Rik,3.790994348,-0.086597952,0.01814714,0.079937001,3.790994348,-0.084209151,0.02180075,0.069317986
1700123K08Rik,4.559812597,-0.059505604,0.276931209,0.495549261,4.559812597,-0.071307713,0.194438198,0.332065373
1700123O20Rik,6.561599737,0.012620604,0.791783367,0.892631991,6.561599737,0.024531165,0.608980926,0.719466999
1700125H20Rik,3.8043502,0.048004625,0.192573618,0.394895528,3.8043502,-0.041683317,0.258483015,0.403458029
1700129C05Rik,2.705860262,-0.003677823,0.914429498,0.956460693,2.705860262,-0.030787895,0.370754392,0.513732424
1810009A15Rik,5.619531471,-0.004328904,0.903503124,0.951372514,5.619531471,-0.036017941,0.31580188,0.462017683
1810009J06Rik,2.999345919,0.05017798,0.340760449,0.562135554,2.999345919,-0.04884313,0.354914864,0.499389535
1810009N02Rik,3.593133707,0.076830404,0.205888047,0.412635684,3.593133707,-0.040745603,0.501913829,0.631705385
1810010H24Rik,6.178866349,0.109302693,0.018224452,0.080117215,6.178866349,-0.045411671,0.321059483,0.467602919
1810011H11Rik,4.676132751,0.015670053,0.813837464,0.905640488,4.676132751,0.406008666,3.21E-08,4.39E-07
1810011O10Rik,6.994297055,0.095946335,0.250789715,0.466331983,6.994297055,0.312238574,0.000322591,0.001992577
1810013L24Rik,7.046883027,0.293880388,0.00010306,0.00158134,7.046883027,-0.069190357,0.34068995,0.486925455
1810019J16Rik,6.453528902,0.012548862,0.744294633,0.865140969,6.453528902,-0.019596967,0.611571738,0.721624051
1810022K09Rik,6.308716443,0.120245423,0.105513213,0.268790026,6.308716443,0.059857813,0.418765579,0.558231989
1810024B03Rik,2.892962463,-0.004822247,0.933391058,0.966027834,2.892962463,-0.1209723,0.038988643,0.107431941
1810026J23Rik,6.555082877,0.107288144,0.067210548,0.199217978,6.555082877,-0.141550917,0.016796247,0.056587396
1810030O07Rik,5.835929995,0.012842661,0.773641941,0.881782247,5.835929995,0.171171253,0.000243528,0.001544529
1810033B17Rik,3.92569498,-0.039916999,0.396475972,0.612763714,3.92569498,0.035524768,0.451419,0.587835852
1810037I17Rik,5.836833237,0.097872552,0.047772452,0.158168895,5.836833237,0.036517156,0.456719817,0.592828966
1810041L15Rik,5.709459792,0.059679773,0.17307347,0.369680005,5.709459792,-0.055134196,0.208943632,0.348661816
1810043G02Rik,5.29599255,0.042396976,0.225288939,0.43668599,5.29599255,-0.00036938,0.991554631,0.994919749
1810043H04Rik,6.611240862,-0.043886699,0.236527972,0.449782337,6.611240862,-0.109496319,0.003928848,0.017426457
1810046K07Rik,4.786773202,-0.187501257,0.001253373,0.010976439,4.786773202,-0.637699985,1.67E-18,1.58E-16
1810055G02Rik,7.695531048,0.708402781,2.44E-12,5.76E-10,7.695531048,0.244646836,0.005811816,0.024115262
1810062G17Rik,4.991715883,0.022216815,0.68278645,0.826680324,4.991715883,0.012275361,0.821745747,0.879699606
1810065E05Rik,3.709996842,-0.065150668,0.222209107,0.432770404,3.709996842,-0.030435129,0.568131848,0.686897203
2010001E11Rik,5.397198417,-0.037584723,0.42154011,0.635152607,5.397198417,-0.0971731,0.040334424,0.110160798
2010002M12Rik,2.873771911,0.009635018,0.864813699,0.932659765,2.873771911,-0.015538904,0.784214372,0.853033125
2010003K11Rik,7.754946364,1.46477945,4.11E-13,1.16E-10,7.754946364,1.402940457,2.40E-12,6.55E-11
2010012O05Rik,5.358119829,0.204105751,0.000357785,0.004191229,5.358119829,0.05097969,0.356270224,0.500761985
2010015L04Rik,4.314902231,-0.06309384,0.091811463,0.24461241,4.314902231,-0.042268444,0.25765489,0.402485361
2010106E10Rik,2.076261747,-0.019087683,0.532081983,0.724964919,2.076261747,-0.023100697,0.450935826,0.587631589
2010107E04Rik,9.23620215,0.106591601,0.109082836,0.2745993,9.23620215,-0.050213125,0.448753465,0.585673829
2010107G12Rik,4.320927741,0.008091941,0.827631466,0.9125321,4.320927741,-0.055284168,0.140425396,0.265478782
2010107G23Rik,5.536531953,0.026336887,0.511233946,0.709223454,5.536531953,-0.01380027,0.731096683,0.813566327
2010109A12Rik,3.207940731,0.032378777,0.489712695,0.690792219,3.207940731,-0.09844121,0.038405634,0.1062093
2010109I03Rik,3.696049612,-0.046405692,0.393462541,0.610010133,3.696049612,-0.010219273,0.851003257,0.900508735
2010300C02Rik,5.011447877,0.022258495,0.597127174,0.771525207,5.011447877,-0.063479012,0.135034226,0.258643685
2010315B03Rik,5.421511998,-0.023851716,0.721646211,0.851402149,5.421511998,-0.250898692,0.000326381,0.002013476
2200002D01Rik,7.051640275,0.050069305,0.233717975,0.44663062,7.051640275,0.115008303,0.007352314,0.029321924
2200002J24Rik,5.085896121,-0.038509942,0.446588706,0.656373344,5.085896121,-0.079399643,0.119596745,0.238267315
2210010C04Rik,3.386793332,-0.031463227,0.507263757,0.706289996,3.386793332,-0.066792389,0.162227646,0.293235464
2210013O21Rik,3.010868336,0.143293065,0.00195984,0.015497994,3.010868336,0.506703106,2.12E-18,1.95E-16
