SYMBOL,baseMean_6N-WD-C0.2-FG-9W,log2FoldChange_6N-WD-C0.2-FG-9W,pvalue_6N-WD-C0.2-FG-9W,padj_6N-WD-C0.2-FG-9W,baseMean_6N-WD-C0.2-FG-29W,log2FoldChange_6N-WD-C0.2-FG-29W,pvalue_6N-WD-C0.2-FG-29W,padj_6N-WD-C0.2-FG-29W
Pcdhb7,3.14353193,0.036392089,0.506185449,0.705333958,3.14353193,-0.012440101,0.820472228,0.878668669
Pcdhb8,5.267293602,0.019132581,0.703825487,0.84110033,5.267293602,-0.015234534,0.76266443,0.837208007
Pcdhb9,3.786505015,-0.050295904,0.444917442,0.655220401,3.786505015,0.039365424,0.550650809,0.671468554
Pcdhga1,4.821859989,0.082066329,0.003737564,0.025234291,4.821859989,0.267197029,2.86E-15,1.32E-13
Pced1a,6.070390276,0.137582192,2.52E-05,0.000494801,6.070390276,-0.058423206,0.062125065,0.149986035
Pced1b,5.605987319,0.171527877,3.43E-05,0.000640454,5.605987319,0.010610864,0.787540301,0.855332754
Pcf11,6.23416082,0.010915533,0.892244937,0.945299777,6.23416082,-0.020291388,0.801703504,0.866044702
Pcgf1,5.673985555,-0.010293661,0.720489798,0.850917281,5.673985555,0.019002333,0.510399726,0.63800771
Pcgf2,5.872473261,0.087065381,0.012725242,0.061919508,5.872473261,0.039512274,0.252284311,0.397218178
Pcgf3,7.033086651,0.037579062,0.41672245,0.631749169,7.033086651,-0.042020606,0.36528261,0.508494956
Pcgf5,5.823637298,0.055220805,0.21323995,0.422188399,5.823637298,-0.176954243,0.000132912,0.0008931
Pcgf6,5.601143888,0.09583578,0.088249314,0.238333917,5.601143888,0.003142283,0.955144379,0.972174237
Pcid2,6.45196564,0.076794698,0.058051551,0.180270134,6.45196564,-0.07754038,0.056322817,0.139744463
Pcif1,6.199313848,0.099674744,0.006259646,0.037124946,6.199313848,0.017501159,0.624460209,0.731515806
Pck1,10.46433127,0.147813209,0.303284097,0.523307947,10.46433127,0.152447791,0.289698642,0.436033766
Pck2,5.381407884,0.087320832,0.014328805,0.067372252,5.381407884,0.164571988,1.02E-05,8.79E-05
Pclo,3.823284585,-0.008997515,0.729880836,0.855971197,3.823284585,-0.052695229,0.046216373,0.12159651
Pcm1,6.032579674,-0.096328157,0.256535719,0.473334207,6.032579674,0.175076889,0.041458631,0.11234665
Pcmt1,5.90014345,-0.029231648,0.441686797,0.652305507,5.90014345,-0.129028913,0.001028328,0.005545913
Pcmtd1,7.556679681,-0.295400815,0.001797766,0.014464645,7.556679681,-0.238967933,0.010941813,0.040362453
Pcmtd2,6.791899029,0.031710188,0.601176835,0.773845729,6.791899029,-0.146886645,0.017516346,0.058434035
Pcna,6.469270328,0.049087799,0.355719204,0.576631891,6.469270328,0.245700809,1.31E-05,0.000110542
Pcnp,6.459933821,-0.048251866,0.453423602,0.661566692,6.459933821,-0.039217917,0.543085916,0.665305436
Pcnt,5.889993699,0.055568631,0.038836998,0.136346767,5.889993699,-0.022992503,0.388759065,0.530293921
Pcnx,6.78512141,0.176356892,0.000494188,0.005364043,6.78512141,-0.086583894,0.07934021,0.178901561
Pcnxl2,5.111958476,-0.015838661,0.70461895,0.841569919,5.111958476,-0.061878378,0.142046541,0.267525594
Pcnxl3,7.034287082,0.171752314,0.000240179,0.003057647,7.034287082,-0.03317945,0.461421688,0.596937188
Pcnxl4,5.128775169,-0.131890716,0.00021342,0.002796491,5.128775169,-0.037285249,0.277805867,0.423312032
Pcolce,6.175369024,0.10738157,0.002410595,0.018162249,6.175369024,0.258471786,6.08E-11,1.29E-09
Pcolce2,5.664689907,0.146870196,0.016255047,0.073966478,5.664689907,0.114318076,0.060291947,0.146758807
